CODICE,DESCRIZIONE
H06.1,DISTURBI DELL'APPARATO LACRIMALE E DELL'ORBITA IN MALATTIE CLASSIFICATE ALTROVE - INFESTAZIONE PARASSITARIA DELL'ORBITA IN MALATTIE CLASSIFICATE ALTROVE
H06.2,DISTURBI DELL'APPARATO LACRIMALE E DELL'ORBITA IN MALATTIE CLASSIFICATE ALTROVE - ESOFTALMO DISTIROIDEO (E05   )
H06.3,DISTURBI DELL'APPARATO LACRIMALE E DELL'ORBITA IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI DELL'ORBITA IN MALATTIE CLASSIFICATE ALTROVE
H10.0,CONGIUNTIVITE - CONGIUNTIVITE MUCOPURULENTA
H10.1,CONGIUNTIVITE - CONGIUNTIVITE ATOPICA ACUTA
H10.2,CONGIUNTIVITE - ALTRA CONGIUNTIVITE ACUTA
H10.3,CONGIUNTIVITE - CONGIUNTIVITE ACUTA NON SPECIFICATA
H10.4,CONGIUNTIVITE - CONGIUNTIVITE CRONICA
H10.5,CONGIUNTIVITE - BLEFAROCONGIUNTIVITE
H10.8,CONGIUNTIVITE - ALTRE CONGIUNTIVITI
H10.9,CONGIUNTIVITE - CONGIUNTIVITE NON SPECIFICATA
H11.0,ALTRI DISTURBI DELLA CONGIUNTIVA - PTERIGIO
H11.1,ALTRI DISTURBI DELLA CONGIUNTIVA - DEPOSITI E DEGENERAZIONI DELLA CONGIUNTIVA:
H11.2,ALTRI DISTURBI DELLA CONGIUNTIVA - CICATRICI CONGIUNTIVALI
H11.3,ALTRI DISTURBI DELLA CONGIUNTIVA - EMORRAGIA CONGIUNTIVALE
H11.4,ALTRI DISTURBI DELLA CONGIUNTIVA - CISTI ED ALTRI DISTURBI VASCOLARI CONGIUNTIVALI
H11.8,ALTRI DISTURBI DELLA CONGIUNTIVA - ALTRI DISTURBI SPECIFICATI DELLA CONGIUNTIVA
H11.9,ALTRI DISTURBI DELLA CONGIUNTIVA - DISTURBO DELLA CONGIUNTIVA NON SPECIFICATO
H13.0,DISTURBI DELLA CONGIUNTIVA IN MALATTIE CLASSIFICATE ALTROVE - FILARIASI DELLA CONGIUNTIVA (B74   )
H13.1,DISTURBI DELLA CONGIUNTIVA IN MALATTIE CLASSIFICATE ALTROVE - CONGIUNTIVITE IN MALATTIE INFETTIVE E PARASSITARIE CLASSIFICATE ALTROVE
H13.2,DISTURBI DELLA CONGIUNTIVA IN MALATTIE CLASSIFICATE ALTROVE - CONGIUNTIVITE IN ALTRE MALATTIE CLASSIFICATE ALTROVE
H13.3,DISTURBI DELLA CONGIUNTIVA IN MALATTIE CLASSIFICATE ALTROVE - PEMFIGOIDE OCULARE (L12   )
H13.8,DISTURBI DELLA CONGIUNTIVA IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI DELLA CONGIUNTIVA IN MALATTIE CLASSIFICATE ALTROVE
H15.0,DISTURBI DELLA SCLERA - SCLERITE
H15.1,DISTURBI DELLA SCLERA - EPISCLERITE
H15.8,DISTURBI DELLA SCLERA - ALTRI DISTURBI DELLA SCLERA
H15.9,DISTURBI DELLA SCLERA - DISTURBO DELLA SCLERA NON SPECIFICATO
H16.0,CHERATITE - ULCERA CORNEALE
H16.1,CHERATITE - ALTRE CHERATITI SUPERFICIALI SENZA CONGIUNTIVITE
H16.2,CHERATITE - CHERATOCONGIUNTIVITE
H16.3,CHERATITE - CHERATITE INTERSTIZIALE E PROFONDA
H16.4,CHERATITE - NEOVASCOLARIZZAZIONE CORNEALE
H16.8,CHERATITE - ALTRE CHERATITI
H16.9,CHERATITE - CHERATITE NON SPECIFICATA
H17.0,CICATRICI ED OPACITA' CORNEALI - LEUCOMA ADERENTE
H17.1,CICATRICI ED OPACITA' CORNEALI - ALTRA OPACITA' CORNEALE CENTRALE
H17.8,CICATRICI ED OPACITA' CORNEALI - ALTRE OPACITA' E CICATRICI CORNEALI
H17.9,CICATRICI ED OPACITA' CORNEALI - CICATRICE ED OPACITA' CORNEALI NON SPECIFICATE
H18.0,ALTRI DISTURBI DELLA CORNEA - PIGMENTAZIONI E DEPOSITI CORNEALI
H18.1,ALTRI DISTURBI DELLA CORNEA - CHERATOPATIA BOLLOSA
H18.2,ALTRI DISTURBI DELLA CORNEA - ALTRO EDEMA CORNEALE
H18.3,ALTRI DISTURBI DELLA CORNEA - ALTERAZIONI NELLE MEMBRANE DELLA CORNEA
H18.4,ALTRI DISTURBI DELLA CORNEA - DEGENERAZIONE CORNEALE
H18.5,ALTRI DISTURBI DELLA CORNEA - DISTROFIE CORNEALI EREDITARIE
H18.6,ALTRI DISTURBI DELLA CORNEA - CHERATOCONO
H18.7,ALTRI DISTURBI DELLA CORNEA - ALTRE DEFORMAZIONI CORNEALI
H18.8,ALTRI DISTURBI DELLA CORNEA - ALTRI DISTURBI SPECIFICATI DELLA CORNEA
H18.9,ALTRI DISTURBI DELLA CORNEA - DISTURBO DELLA CORNEA NON SPECIFICATO
H19.0,DISTURBI DELLA SCLERA E DELLA CORNEA IN MALATTIE CLASSIFICATE ALTROVE - SCLERITE ED EPISCLERITE IN MALATTIE CLASSIFICATE ALTROVE
H19.1,DISTURBI DELLA SCLERA E DELLA CORNEA IN MALATTIE CLASSIFICATE ALTROVE - CHERATITE E CHERATOCONGIUNTIVITE ERPETICHE (B00 5 )
H19.2,DISTURBI DELLA SCLERA E DELLA CORNEA IN MALATTIE CLASSIFICATE ALTROVE - CHERATITE E CHERATOCONGIUNTIVITE IN ALTRE MALATTIE INFETTIVE E PARASSITARIE CLASSIFICATE ALTROVE
H19.3,DISTURBI DELLA SCLERA E DELLA CORNEA IN MALATTIE CLASSIFICATE ALTROVE - CHERATITE E CHERATOCONGIUNTIVITE IN ALTRE MALATTIE CLASSIFICATE ALTROVE
H19.8,DISTURBI DELLA SCLERA E DELLA CORNEA IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI DELLA SCLERA E DELLA CORNEA IN MALATTIE CLASSIFICATE ALTROVE
H20.0,IRIDOCICLITE - IRIDOCICLITE ACUTA E SUBACUTA
H20.1,IRIDOCICLITE - IRIDOCICLITE CRONICA
H20.2,IRIDOCICLITE - UVEITE FACOANAFILATTICA
H20.8,IRIDOCICLITE - ALTRE IRIDOCICLITI
H20.9,IRIDOCICLITE - IRIDOCICLITE NON SPECIFICATA
H21.0,ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE - IFEMA
H21.1,ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE - ALTRI DISTURBI VASCOLARI DELL'IRIDE E DEL CORPO CILIARE
H21.2,ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE - DEGENERAZIONE DELL'IRIDE E DEL CORPO CILIARE
H21.3,"ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE - CISTI DELL'IRIDE, DEL CORPO CILIARE E DELLA CAMERA ANTERIORE"
H21.4,ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE - MEMBRANE PUPILLARI
H21.5,ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE - ALTRE ADERENZE E ROTTURE DELL'IRIDE E DEL CORPO CILIARE
H21.8,ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE - ALTRI DISTURBI SPECIFICATI DELL'IRIDE E DEL CORPO CILIARE
H21.9,ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE - DISTURBO DELL'IRIDE E DEL CORPO CILIARE NON SPECIFICATO
H22.0,DISTURBI DELL'IRIDE E DEL CORPO CILIARE IN MALATTIE CLASSIFICATE ALTROVE - IRIDOCICLITE IN MALATTIE INFETTIVE E PARASSITARIE CLASSIFICATE ALTROVE
H22.1,DISTURBI DELL'IRIDE E DEL CORPO CILIARE IN MALATTIE CLASSIFICATE ALTROVE - IRIDOCICLITE IN ALTRE MALATTIE CLASSIFICATE ALTROVE
H22.8,DISTURBI DELL'IRIDE E DEL CORPO CILIARE IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI DELL'IRIDE E DEL CORPO CILIARE IN MALATTIE CLASSIFICATE ALTROVE
H25.0,CATARATTA SENILE - CATARATTA SENILE INCIPIENTE
H25.1,CATARATTA SENILE - CATARATTA SENILE NUCLEARE
H25.2,CATARATTA SENILE - CATARATTA SENILE MORGAGNANA
H25.8,CATARATTA SENILE - ALTRA CATARATTA SENILE
H25.9,CATARATTA SENILE - CATARATTA SENILE NON SPECIFICATA
H26.0,"ALTRA CATARATTA - CATARATTA INFANTILE, GIOVANILE E PRESENILE"
H26.1,ALTRA CATARATTA - CATARATTA TRAUMATICA
H26.2,ALTRA CATARATTA - CATARATTA COMPLICATA
H26.3,ALTRA CATARATTA - CATARATTA DA FARMACI
H26.4,ALTRA CATARATTA - CATARATTA SECONDARIA
H26.8,ALTRA CATARATTA - ALTRA CATARATTA SPECIFICATA
H26.9,ALTRA CATARATTA - CATARATTA NON SPECIFICATA
H27.0,ALTRI DISTURBI DEL CRISTALLINO - AFACHIA
H27.1,ALTRI DISTURBI DEL CRISTALLINO - LUSSAZIONE DEL CRISTALLINO
H27.8,ALTRI DISTURBI DEL CRISTALLINO - ALTRI DISTURBI SPECIFICATI DEL CRISTALLINO
H27.9,ALTRI DISTURBI DEL CRISTALLINO - DISTURBO DEL CRISTALLINO NON SPECIFICATO
H28.0,CATARATTA ED ALTRI DISTURBI DEL CRISTALLINO IN MALATTIE CLASSIFICATE ALTROVE - CATARATTA DIABETICA (E10 E14  CON QUARTO CARATTERE COMUNE  3)
H28.1,"CATARATTA ED ALTRI DISTURBI DEL CRISTALLINO IN MALATTIE CLASSIFICATE ALTROVE - CATARATTA IN ALTRE MALATTIE ENDOCRINE, NUTRIZIONALI E METABOLICHE"
H28.2,CATARATTA ED ALTRI DISTURBI DEL CRISTALLINO IN MALATTIE CLASSIFICATE ALTROVE - CATARATTA IN ALTRE MALATTIE CLASSIFICATE ALTROVE
H28.8,CATARATTA ED ALTRI DISTURBI DEL CRISTALLINO IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI DEL CRISTALLINO IN MALATTIE CLASSIFICATE ALTROVE
H30.0,INFIAMMAZIONE CORIORETINICA - INFIAMMAZIONE CORIORETINICA FOCALE
H30.1,INFIAMMAZIONE CORIORETINICA - INFIAMMAZIONE CORIORETINICA DIFFUSA
H30.2,INFIAMMAZIONE CORIORETINICA - CICLITE POSTERIORE
H30.8,INFIAMMAZIONE CORIORETINICA - ALTRE INFIAMMAZIONI CORIORETINICHE
H30.9,INFIAMMAZIONE CORIORETINICA - INFIAMMAZIONE CORIORETINICA NON SPECIFICATA
H31.0,ALTRI DISTURBI DELLA COROIDE - CICATRICI CORIORETINICHE
H31.1,ALTRI DISTURBI DELLA COROIDE - DEGENERAZIONE COROIDEA
H31.2,ALTRI DISTURBI DELLA COROIDE - DISTROFIA EREDITARIA DELLA COROIDE
H31.3,ALTRI DISTURBI DELLA COROIDE - EMORRAGIA E ROTTURA COROIDEA
H31.4,ALTRI DISTURBI DELLA COROIDE - DISTACCO DI COROIDE
H31.8,ALTRI DISTURBI DELLA COROIDE - ALTRI DISTURBI SPECIFICATI DELLA COROIDE
H31.9,ALTRI DISTURBI DELLA COROIDE - DISTURBO DELLA COROIDE NON SPECIFICATO
H32.0,DISTURBI CORIORETINICI IN MALATTIE CLASSIFICATE ALTROVE - INFIAMMAZIONE CORIORETINICA IN MALATTIE INFETTIVE E PARASSITARIE CLASSIFICATE ALTROVE
H32.8,DISTURBI CORIORETINICI IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI CORIORETINICI IN MALATTIE CLASSIFICATE ALTROVE
H33.0,DISTACCHI E ROTTURE DI RETINA - DISTACCO DI RETINA CON ROTTURA RETINICA
H33.1,DISTACCHI E ROTTURE DI RETINA - RETINOSCHISI E CISTI RETINICHE
H33.2,DISTACCHI E ROTTURE DI RETINA - DISTACCO SIEROSO DELLA RETINA
H33.3,DISTACCHI E ROTTURE DI RETINA - ROTTURE DI RETINA SENZA DISTACCO
H33.4,DISTACCHI E ROTTURE DI RETINA - DISTACCO DA TRAZIONE DELLA RETINA
H33.5,DISTACCHI E ROTTURE DI RETINA - ALTRI DISTACCHI DI RETINA
H34.0,OCCLUSIONI VASCOLARI RETINICHE - OCCLUSIONE TRANSITORIA DI ARTERIA RETINICA
H34.1,OCCLUSIONI VASCOLARI RETINICHE - OCCLUSIONE DELL'ARTERIA CENTRALE DELLA RETINA
H34.2,OCCLUSIONI VASCOLARI RETINICHE - ALTRE OCCLUSIONI ARTERIOSE RETINICHE
H34.8,OCCLUSIONI VASCOLARI RETINICHE - ALTRE OCCLUSIONI VASCOLARI RETINICHE
H34.9,OCCLUSIONI VASCOLARI RETINICHE - OCCLUSIONE VASCOLARE RETINICA NON SPECIFICATA
H35.0,ALTRI DISTURBI RETINICI - RETINOPATIA NON PROLIFERATIVA (BACKGROUND) E ALTERAZIONI VASCOLARI RETINICHE
H35.1,ALTRI DISTURBI RETINICI - RETINOPATIA DEL PREMATURO
H35.2,ALTRI DISTURBI RETINICI - ALTRA RETINOPATIA PROLIFERATIVA
H35.3,ALTRI DISTURBI RETINICI - DEGENERAZIONE DELLA MACULA E DEL POLO POSTERIORE
H35.4,ALTRI DISTURBI RETINICI - DEGENERAZIONE RETINICA PERIFERICA
H35.5,ALTRI DISTURBI RETINICI - DISTROFIA RETINICA EREDITARIA
H35.6,ALTRI DISTURBI RETINICI - EMORRAGIA RETINICA
H35.7,ALTRI DISTURBI RETINICI - SEPARAZIONE DEGLI STRATI RETINICI
H35.8,ALTRI DISTURBI RETINICI - ALTRI DISTURBI SPECIFICATI DELLA RETINA
H35.9,ALTRI DISTURBI RETINICI - DISTURBO RETINICO NON SPECIFICATO
H36.0,DISTURBI RETINICI IN MALATTIE CLASSIFICATE ALTROVE - RETINOPATIA DIABETICA (E10 E14  CON QUARTO CARATTERE COMUNE  3)
H36.8,DISTURBI RETINICI IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI RETINICI IN MALATTIE CLASSIFICATE ALTROVE
H40.0,GLAUCOMA - SOSPETTO DI GLAUCOMA
H40.1,GLAUCOMA - GLAUCOMA PRIMARIO AD ANGOLO APERTO
H40.2,GLAUCOMA - GLAUCOMA PRIMARIO AD ANGOLO CHIUSO
H40.3,GLAUCOMA - GLAUCOMA SECONDARIO A TRAUMA OCULARE
H40.4,GLAUCOMA - GLAUCOMA SECONDARIO AD INFIAMMAZIONE OCULARE
H40.5,GLAUCOMA - GLAUCOMA SECONDARIO AD ALTRI DISTURBI OCULARI
H40.6,GLAUCOMA - GLAUCOMA SECONDARIO A FARMACI
H40.8,GLAUCOMA - ALTRO GLAUCOMA
H40.9,GLAUCOMA - GLAUCOMA NON SPECIFICATO
H42.0,"GLAUCOMA IN MALATTIE CLASSIFICATE ALTROVE - GLAUCOMA IN MALATTIE ENDOCRINE, NUTRIZIONALI E METABOLICHE CLASSIFICATE ALTROVE"
H42.8,GLAUCOMA IN MALATTIE CLASSIFICATE ALTROVE - GLAUCOMA IN ALTRE MALATTIE CLASSIFICATE ALTROVE
H43.0,DISTURBI DEL CORPO VITREO - PROLASSO DEL CORPO VITREO
H43.1,DISTURBI DEL CORPO VITREO - EMORRAGIA VITREALE
H43.2,DISTURBI DEL CORPO VITREO - DEPOSITI CRISTALLINI NEL CORPO VITREO
H43.3,DISTURBI DEL CORPO VITREO - ALTRE OPACITA' DEL CORPO VITREO
H43.8,DISTURBI DEL CORPO VITREO - ALTRI DISTURBI DEL CORPO VITREO
H43.9,DISTURBI DEL CORPO VITREO - DISTURBO DEL CORPO VITREO NON SPECIFICATO
H44.0,DISTURBI DEL GLOBO OCULARE - ENDOFTALMITE PURULENTA
H44.1,DISTURBI DEL GLOBO OCULARE - ALTRA ENDOFTALMITE
H44.2,DISTURBI DEL GLOBO OCULARE - MIOPIA DEGENERATIVA
H44.3,DISTURBI DEL GLOBO OCULARE - ALTRI DISTURBI DEGENERATIVI DEL GLOBO OCULARE
H44.4,DISTURBI DEL GLOBO OCULARE - IPOTONIA OCULARE
H44.5,DISTURBI DEL GLOBO OCULARE - MALATTIE DEGENERATIVE DEL GLOBO OCULARE
H44.6,"DISTURBI DEL GLOBO OCULARE - RITENZIONE DI CORPO ESTRANEO, MAGNETICO, INTRAOCULARE (DI VECCHIA DATA)"
H44.7,"DISTURBI DEL GLOBO OCULARE - RITENZIONE DI CORPO ESTRANEO, NON MAGNETICO, INTRAOCULARE (DI VECCHIA DATA)"
H44.8,DISTURBI DEL GLOBO OCULARE - ALTRI DISTURBI DEL GLOBO OCULARE
H44.9,DISTURBI DEL GLOBO OCULARE - DISTURBO DEL GLOBO OCULARE NON SPECIFICATO
H45.0,DISTURBI DEL CORPO VITREO E DEL GLOBO OCULARE IN MALATTIE CLASSIFICATE ALTROVE - EMORRAGIA DEL VITREO IN MALATTIE CLASSIFICATE ALTROVE
H45.1,DISTURBI DEL CORPO VITREO E DEL GLOBO OCULARE IN MALATTIE CLASSIFICATE ALTROVE - ENDOFTALMITE IN MALATTIE CLASSIFICATE ALTROVE
H45.8,DISTURBI DEL CORPO VITREO E DEL GLOBO OCULARE IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI DEL CORPO VITREO E DEL GLOBO OCULARE IN MALATTIE CLASSIFICATE ALTROVE
H46,NEURITE OTTICA
H47.0,ALTRI DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE - DISTURBI DEL NERVO OTTICO NON CLASSIFICATI ALTROVE
H47.1,ALTRI DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE - PAPILLEDEMA NON SPECIFICATO
H47.2,ALTRI DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE - ATROFIA OTTICA
H47.3,ALTRI DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE - ALTRI DISTURBI DELLA PAPILLA OTTICA
H47.4,ALTRI DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE - DISTURBI DEL CHIASMA OTTICO
H47.5,ALTRI DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE - DISTURBI DI ALTRE VIE OTTICHE
H47.6,ALTRI DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE - DISTURBI DELLA CORTECCIA VISIVA
H47.7,ALTRI DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE - DISTURBO DELLE VIE OTTICHE NON SPECIFICATO
H48.0,DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE IN MALATTIE CLASSIFICATE ALTROVE - ATROFIA OTTICA IN MALATTIE CLASSIFICATE ALTROVE
H48.1,DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE IN MALATTIE CLASSIFICATE ALTROVE - NEVRITE RETROBULBARE IN MALATTIE CLASSIFICATE ALTROVE
H48.8,DISTURBI DEL NERVO OTTICO (II NERVO CRANICO) E DELLE VIE OTTICHE IN MALATTIE CLASSIFICATE ALTROVE - ALTRI DISTURBI DEL NERVO OTTICO E DELLE VIE OTTICHE IN MALATTIE CLASSIFICATE ALTROVE
H49.0,STRABISMO PARALITICO - PARALISI DEL TERZO NERVO CRANICO (OCULOMOTORE)
H49.1,STRABISMO PARALITICO - PARALISI DEL QUARTO NERVO CRANICO (TROCLEARE)
H49.2,STRABISMO PARALITICO - PARALISI DEL SESTO NERVO CRANICO (ABDUCENTE)
H49.3,STRABISMO PARALITICO - OFTALMOPLEGIA COMPLETA (ESTERNA)
H49.4,STRABISMO PARALITICO - OFTALMOPLEGIA PROGRESSIVA ESTERNA
H49.8,STRABISMO PARALITICO - ALTRO STRABISMO PARALITICO
H49.9,STRABISMO PARALITICO - STRABISMO PARALITICO NON SPECIFICATO
H50.0,ALTRO STRABISMO - STRABISMO CONCOMITANTE CONVERGENTE
H50.1,ALTRO STRABISMO - STRABISMO CONCOMITANTE DIVERGENTE
H50.2,ALTRO STRABISMO - STRABISMO VERTICALE
H50.3,ALTRO STRABISMO - ETEROTROPIA INTERMITTENTE
H50.4,ALTRO STRABISMO - ALTRA E NON SPECIFICATA ETEROTROPIA
H50.5,ALTRO STRABISMO - ETEROFORIA
H50.6,ALTRO STRABISMO - STRABISMO MECCANICO
H50.8,ALTRO STRABISMO - ALTRO STRABISMO SPECIFICATO
H50.9,ALTRO STRABISMO - STRABISMO NON SPECIFICATO
H51.0,ALTRI DISTURBI DEI MOVIMENTI BINOCULARI - PARALISI DELLA CONIUGAZIONE DELLO SGUARDO
H51.1,ALTRI DISTURBI DEI MOVIMENTI BINOCULARI - DIFETTO ED ECCESSO DI CONVERGENZA
H51.2,ALTRI DISTURBI DEI MOVIMENTI BINOCULARI - OFTALMOPLEGIA INTERNUCLEARE
H51.8,ALTRI DISTURBI DEI MOVIMENTI BINOCULARI - ALTRI DISTURBI SPECIFICATI DEI MOVIMENTI BINOCULARI
H51.9,ALTRI DISTURBI DEI MOVIMENTI BINOCULARI - DISTURBO DEI MOVIMENTI BINOCULARI NON SPECIFICATO
H52.0,VIZI DI RIFRAZIONE E DISTURBI DI ACCOMODAZIONE - IPERMETROPIA
H52.1,VIZI DI RIFRAZIONE E DISTURBI DI ACCOMODAZIONE - MIOPIA
H52.2,VIZI DI RIFRAZIONE E DISTURBI DI ACCOMODAZIONE - ASTIGMATISMO
H52.3,VIZI DI RIFRAZIONE E DISTURBI DI ACCOMODAZIONE - ANISOMETROPIA ED ANISEICONIA
H52.4,VIZI DI RIFRAZIONE E DISTURBI DI ACCOMODAZIONE - PRESBIOPIA
H52.5,VIZI DI RIFRAZIONE E DISTURBI DI ACCOMODAZIONE - DISTURBI DI ACCOMODAZIONE
H52.6,VIZI DI RIFRAZIONE E DISTURBI DI ACCOMODAZIONE - ALTRI VIZI DI RIFRAZIONE
H52.7,VIZI DI RIFRAZIONE E DISTURBI DI ACCOMODAZIONE - VIZIO DI RIFRAZIONE NON SPECIFICATO
H53.0,DISTURBI VISIVI - AMBLIOPIA EX ANOPSIA
H53.1,DISTURBI VISIVI - DISTURBI SOGGETTIVI DELLA VISTA
H53.2,DISTURBI VISIVI - DIPLOPIA
H53.3,DISTURBI VISIVI - ALTRI DISTURBI DELLA VISIONE BINOCULARE
H53.4,DISTURBI VISIVI - DIFETTI DEL CAMPO VISIVO
H53.5,DISTURBI VISIVI - DEFICIT DELLA VISIONE DEI COLORI
H53.6,DISTURBI VISIVI - CECITA' NOTTURNA
H53.8,DISTURBI VISIVI - ALTRI DISTURBI VISIVI
H53.9,DISTURBI VISIVI - DISTURBO VISIVO NON SPECIFICATO
H54.0,"DEFICIT VISIVO, INCLUSA LA CECITA’ (BINOCULARE O MONOCULARE) - CECITA' BINOCULARE"
H54.1,"DEFICIT VISIVO, INCLUSA LA CECITA’ (BINOCULARE O MONOCULARE) - DEFICIT VISIVO GRAVE, BINOCULARE"
H54.2,"DEFICIT VISIVO, INCLUSA LA CECITA’ (BINOCULARE O MONOCULARE) - DEFICIT VISIVO MODERATO, BINOCULARE"
H54.3,"DEFICIT VISIVO, INCLUSA LA CECITA’ (BINOCULARE O MONOCULARE) - DEFICIT VISIVO LIEVE O INESISTENTE, BINOCULARE"
H54.4,"DEFICIT VISIVO, INCLUSA LA CECITA’ (BINOCULARE O MONOCULARE) - CECITA' MONOCULARE"
H54.5,"DEFICIT VISIVO, INCLUSA LA CECITA’ (BINOCULARE O MONOCULARE) - DEFICIT VISIVO GRAVE, MONOCULARE"
H54.6,"DEFICIT VISIVO, INCLUSA LA CECITA’ (BINOCULARE O MONOCULARE) - DEFICIT VISIVO MODERATO, MONOCULARE"
H54.9,"DEFICIT VISIVO, INCLUSA LA CECITA’ (BINOCULARE O MONOCULARE) - DEFICIT VISIVO NON SPECIFICATO (BINOCULARE)"
H55,NISTAGMO ED ALTRI MOVIMENTI IRREGOLARI DEGLI OCCHI
H57.0,ALTRI DISTURBI DELL'OCCHIO E DEGLI ANNESSI OCULARI - ANOMALIE DELLA FUNZIONE PUPILLARE
H57.1,ALTRI DISTURBI DELL'OCCHIO E DEGLI ANNESSI OCULARI - DOLORE OCULARE
H57.8,ALTRI DISTURBI DELL'OCCHIO E DEGLI ANNESSI OCULARI - ALTRI DISTURBI SPECIFICATI DELL'OCCHIO E DEGLI ANNESSI OCULARI
H57.9,ALTRI DISTURBI DELL'OCCHIO E DEGLI ANNESSI OCULARI - DISTURBO DELL'OCCHIO E DEGLI ANNESSI OCULARI NON SPECIFICATO
H58.0,ALTRI DISTURBI DELL'OCCHIO E DEGLI ANNESSI OCULARI IN MALATTIE CLASSIFICATE ALTROVE - ANOMALIE DELLA FUNZIONE PUPILLARE IN MALATTIE CLASSIFICATE ALTROVE
H58.1,ALTRI DISTURBI DELL'OCCHIO E DEGLI ANNESSI OCULARI IN MALATTIE CLASSIFICATE ALTROVE - DISTURBI VISIVI IN MALATTIE CLASSIFICATE ALTROVE
H58.8,ALTRI DISTURBI DELL'OCCHIO E DEGLI ANNESSI OCULARI IN MALATTIE CLASSIFICATE ALTROVE - ALTRI SPECIFICATI DISTURBI DELL'OCCHIO E DEGLI ANNESSI OCULARI IN MALATTIE CLASSIFICATE ALTROVE
H59.0,DISTURBI IATROGENI DELL'OCCHIO E DEGLI ANNESSI NON CLASSIFICATI ALTROVE - CHERATOPATIA (BOLLOSA AFACHICA) SUSSEGUENTE AD INTERVENTO CHIRURGICO DI CATARATTA
H59.8,DISTURBI POST IATROGENI DELL'OCCHIO E DEGLI ANNESSI NON CLASSIFICATI ALTROVE - ALTRI DISTURBI IATROGENI DELL'OCCHIO E DEGLI ANNESSI OCULARI
H59.9,DISTURBI POST IATROGENI DELL'OCCHIO E DEGLI ANNESSI NON CLASSIFICATI ALTROVE - DISTURBO IATROGENO DELL'OCCHIO E DEGLI ANNESSI OCULARI NON SPECIFICATO
H60.0,OTITE ESTERNA - ASCESSO DELL'ORECCHIO ESTERNO
H60.1,OTITE ESTERNA - CELLULITE DELL'ORECCHIO ESTERNO
H60.2,OTITE ESTERNA - OTITE ESTERNA MALIGNA
H60.3,OTITE ESTERNA - ALTRA OTITE ESTERNA INFETTIVA
H60.4,OTITE ESTERNA - COLESTEATOMA DELL'ORECCHIO ESTERNO
H60.5,OTITE ESTERNA - OTITE ACUTA ESTERNA NON INFETTIVA
H60.8,OTITE ESTERNA - ALTRA OTITE ESTERNA
H60.9,OTITE ESTERNA - OTITE ESTERNA NON SPECIFICATA
H61.0,ALTRI DISTURBI DELL'ORECCHIO ESTERNO - PERICONDRITE DELL'ORECCHIO ESTERNO
H61.1,ALTRI DISTURBI DELL'ORECCHIO ESTERNO - DISTURBI NON INFETTIVI DEL PADIGLIONE AURICOLARE
H61.2,ALTRI DISTURBI DELL'ORECCHIO ESTERNO - TAPPO DI CERUME
H61.3,ALTRI DISTURBI DELL'ORECCHIO ESTERNO - STENOSI ACQUISITA DEL CONDOTTO UDITIVO ESTERNO
H61.8,ALTRI DISTURBI DELL'ORECCHIO ESTERNO - ALTRI DISTURBI SPECIFICATI DELL'ORECCHIO ESTERNO
H61.9,ALTRI DISTURBI DELL'ORECCHIO ESTERNO - DISTURBO DELL'ORECCHIO ESTERNO NON SPECIFICATO
H62.0,DISTURBI DELL'ORECCHIO ESTERNO IN MALATTIE CLASSIFICATE ALTROVE - OTITE ESTERNA IN MALATTIE BATTERICHE CLASSIFICATE ALTROVE
H62.1,DISTURBI DELL'ORECCHIO ESTERNO IN MALATTIE CLASSIFICATE ALTROVE - OTITE ESTERNA IN MALATTIE VIRALI CLASSIFICATE ALTROVE
